tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_cache_l1_cycles,perf_cache_l1_instructions,perf_cache_l1_mem_load_retired_l1_hit,perf_cache_l1_mem_load_retired_l1_miss,perf_cache_l2_cycles,perf_cache_l2_instructions,perf_cache_l2_mem_load_retired_l2_hit,perf_cache_l2_mem_load_retired_l2_miss,perf_cache_stalls_cycle_activity_stalls_l1d_miss,perf_cache_stalls_cycle_activity_stalls_l2_miss,perf_cache_stalls_cycle_activity_stalls_l3_miss,perf_cache_stalls_cycles,perf_cache_stalls_instructions,perf_execution_ports_cycles,perf_execution_ports_exe_activity_1_ports_util,perf_execution_ports_exe_activity_2_ports_util,perf_execution_ports_exe_activity_3_ports_util,perf_execution_ports_exe_activity_4_ports_util,perf_execution_ports_instructions,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_summary
011-lib0-t4-k256-r4c2-u2-b-,ok,ok,0,4,256,4,2,2,-,8040698,8051677,127.178,32768000000,1782536387,4264289298,96064721,75987,199130628,1755133,1802545205,4265683103,12167835,2239704146,794729622,1779148067,4264520138,690277173,69313425,1796463342,4266345283,63480687,7587503,201750063,117247918,15388890,1807838705,4265271290,1795126849,139649178,753744138,145891469,275486874,4263122997,1781882735,4263484919,1782115973,1035380625,75987,96064721,1755133,199130628,1782536387,4264289298,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
012-lib0-t4-k256-r4c2-u4-b-,ok,ok,0,4,256,4,2,4,-,7979703,8023167,127.630,32768000000,1770292362,4039625460,71763241,70039,198768448,1777832,1789379477,4039138645,26823607,3212259932,851916652,1770756226,4039774465,601912163,186146853,1782509700,4039667444,173707748,11299503,203577417,156939556,18212680,1807412739,4041210529,1809829562,136274348,846478330,98982459,274221932,4041458684,1827505291,4041951552,1827705807,1061838833,70039,71763241,1777832,198768448,1770292362,4039625460,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
013-lib0-t4-k512-r1c1-u1-b-,ok,ok,0,4,512,1,1,1,-,9855055,9871741,103.730,32768000000,2167377506,4195305497,167609878,67528,198363817,1520140,2171424904,4195379264,296985470,7914049356,1249514192,2166209046,4194930574,1350436215,304287713,2188304349,4200200029,240246879,64788128,368472235,348321294,18176795,2180427603,4197211150,2174727362,315442404,373714616,352025318,491489354,4196052304,2185538495,4197983024,2185755273,1269911200,67528,167609878,1520140,198363817,2167377506,4195305497,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
014-lib0-t4-k512-r1c1-u2-b-,ok,ok,0,4,512,1,1,2,-,9869607,9883344,103.609,32768000000,2168479895,4196219521,167853813,70811,198299121,1522022,2176934619,4197005346,297873012,7926417618,1252852951,2178839712,4198043629,1351188857,304526285,2178805032,4197368478,240599625,64680504,366770536,346264007,18660615,2179443012,4196637871,2189739655,316800140,374115207,352725355,492192447,4199324974,2185019500,4200855731,2185223070,1269744858,70811,167853813,1522022,198299121,2168479895,4196219521,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
015-lib0-t4-k512-r1c1-u4-b-,ok,ok,0,4,512,1,1,4,-,9915750,9937539,103.044,32768000000,2175501669,4197934343,168362261,70439,198381514,1664596,2180883131,4199037478,299458069,7951081590,1258293090,2176598514,4197610589,1351096544,304616063,2175993066,4198163654,240750206,64616518,363050198,342729911,16020885,2169980399,4195355485,2165145429,314712375,372882553,352469300,492340891,4195598611,2175993725,4195530679,2176215595,1264478175,70439,168362261,1664596,198381514,2175501669,4197934343,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
016-lib0-t4-k512-r2c2-u1-b-,ok,ok,0,4,512,2,2,1,-,8744292,8776675,116.673,32768000000,1941028126,4383727222,141857261,3071705,197141721,1668870,1931384003,4383329281,121067942,6639495970,1330835804,1942947856,4385821302,603094054,243490940,1934583130,4383497309,223181696,21056831,343447441,288451261,15930618,1959174149,4388330413,1948241372,230063050,554127284,225369892,352324039,4385131246,1955314390,4386859948,1955587509,1136338116,3071705,141857261,1668870,197141721,1941028126,4383727222,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
017-lib0-t4-k512-r2c2-u2-b-,ok,ok,0,4,512,2,2,2,-,8738800,8744037,117.108,32768000000,1943629959,4353610494,138632510,3068521,197026273,1708179,1951887077,4353636209,134634196,6895476003,1357406894,1973248758,4358189165,593418505,243395336,1968070153,4356210593,219501025,22610037,345702993,288109534,15809940,1960741594,4357311703,1955379033,237560765,567284508,218189502,327291811,4354813880,1955686834,4354807516,1955925239,1136471800,3068521,138632510,1708179,197026273,1943629959,4353610494,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
018-lib0-t4-k512-r2c2-u4-b-,ok,ok,0,4,512,2,2,4,-,8538758,8552305,119.734,32768000000,1879145573,4007074788,90381525,80102,197129416,1429542,1923731543,4012677361,142736492,6178295535,1140171518,1901749623,4008177938,649042313,215639924,1901919068,4009717568,193217087,21967234,339966131,281160865,11325952,1910106778,4008228699,1915133621,223807301,687101564,118633424,343505028,4011609417,1933657798,4012462141,1933903165,1123489433,80102,90381525,1429542,197129416,1879145573,4007074788,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
019-lib0-t4-k512-r2c4-u1-b-,ok,ok,0,4,512,2,4,1,-,8777955,8794722,116.433,32768000000,1936552611,4322063775,134942941,1567686,197807606,1686971,1928015662,4324831582,167502740,7536385746,1341439822,1927216338,4326239619,389217633,199638260,1938735989,4326677086,189938154,10684964,324197040,196453328,11767393,1941672664,4325327473,1937218039,249632031,598851214,154683015,356804842,4326175433,1941444561,4324662762,1941676452,1128243808,1567686,134942941,1686971,197807606,1936552611,4322063775,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
020-lib0-t4-k512-r2c4-u2-b-,ok,ok,0,4,512,2,4,2,-,8542671,8555571,119.688,32768000000,1880245848,3888384500,86232659,85640,197931733,1404018,1909165324,3890834023,245971251,7406203465,1131832842,1882674747,3888791761,459428486,211332701,1909925456,3891248109,202176970,10947716,342170929,204139928,10659772,1907241784,3890788612,1904838880,233746972,723668599,128549735,259986310,3890996362,1899110867,3890959464,1899325252,1103656083,85640,86232659,1404018,197931733,1880245848,3888384500,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,ok
