tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_cache_l1_cycles,perf_cache_l1_instructions,perf_cache_l1_mem_load_retired_l1_hit,perf_cache_l1_mem_load_retired_l1_miss,perf_cache_l2_cycles,perf_cache_l2_instructions,perf_cache_l2_mem_load_retired_l2_hit,perf_cache_l2_mem_load_retired_l2_miss,perf_cache_stalls_cycle_activity_stalls_l1d_miss,perf_cache_stalls_cycle_activity_stalls_l2_miss,perf_cache_stalls_cycle_activity_stalls_l3_miss,perf_cache_stalls_cycles,perf_cache_stalls_instructions,perf_execution_ports_cycles,perf_execution_ports_exe_activity_1_ports_util,perf_execution_ports_exe_activity_2_ports_util,perf_execution_ports_exe_activity_3_ports_util,perf_execution_ports_exe_activity_4_ports_util,perf_execution_ports_instructions,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,perf_tlb_cycles,perf_tlb_dTLB_load_misses,perf_tlb_dTLB_loads,perf_tlb_iTLB_load_misses,perf_tlb_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_power_rapl,profile_summary,profile_tlb,profile_uncore_numa,profile_vectorization
141-lib0-t16-k1024-r2c4-u4-b-,ok,ok,0,16,1024,2,4,4,-,6625068,6644988,154.101,32768000000,1481597256,3357827788,51276597,115244,58376441,1808389,1672444667,3365775835,137489310,5470573948,992458862,1479975103,3356121971,304438045,316697491,1493308283,3360207014,311947165,4856394,114412400,85076471,19335356,1493805779,3357537080,1731509310,127457548,784472631,66837147,276250547,3361003120,1730016721,3362597584,1730198015,1474486383,115244,51276597,1808389,58376441,1481597256,3357827788,1764237252,140143,636500519,18447,3371252991,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
142-lib0-t16-k1024-r4c2-u1-b-,ok,ok,0,16,1024,4,2,1,-,6575846,6606542,154.998,32768000000,1480623364,3999315061,122230592,734773,61946787,2193141,1637551327,4008355211,13555417,3074889935,1140306614,1479389521,4000476897,331162186,109562594,1468139917,3998847511,107143655,2878101,95944686,65341764,31213354,1488360726,4000105475,1649115735,117256757,572593293,126721744,384551770,4008047590,1651585645,4006453656,1651779282,1411632191,734773,122230592,2193141,61946787,1480623364,3999315061,1660538150,94905,636328044,18300,4008730457,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
143-lib0-t16-k1024-r4c2-u2-b-,ok,ok,0,16,1024,4,2,2,-,6440324,6476988,158.098,32768000000,1435070937,3569472280,74766359,203750,58121102,1907223,1562938602,3572439525,19776094,2020509383,635010108,1453682261,3567931904,516659806,83055747,1458924389,3566838142,81230607,3370087,100356810,66220122,31655176,1465863432,3569494748,1634430814,97060739,713473062,119505967,267483197,3574639607,1633992066,3574323698,1634187028,1399227416,203750,74766359,1907223,58121102,1435070937,3569472280,1621635572,96554,635259042,18640,3573144677,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
144-lib0-t16-k1024-r4c2-u4-b-,ok,ok,0,16,1024,4,2,4,-,6352197,6418639,159.535,32768000000,1448263918,3349997744,49749872,196748,61076724,1910882,1485142863,3355240141,23866751,2488148119,684137620,1432301000,3348281161,433857992,187293913,1471111587,3351051824,183901185,4783173,99580687,81273334,33189625,1460110741,3351699078,1618364255,93338751,799820463,66377371,270731719,3356075820,1610346888,3355606252,1610505532,1365374583,196748,49749872,1910882,61076724,1448263918,3349997744,1616277913,87601,633701682,18543,3357733674,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
145-lib0-t32-k256-r1c1-u1-b-,ok,ok,0,32,256,1,1,1,-,9329822,9361257,109.387,32768000000,2073668667,4438035804,195235544,184345,57398457,2264146,2287940999,4456327937,187502298,8447748356,1728747216,2141397096,4441652189,1046217785,606441471,2377490527,4469582395,585865507,19206029,335515762,305862831,21394985,2380628669,4452725263,2370685257,313411166,582059419,594157017,323584889,4452506269,2307350415,4453822475,2307563841,2055284158,184345,195235544,2264146,57398457,2073668667,4438035804,2338640600,110954,1770542661,18818,4460512991,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
146-lib0-t32-k256-r1c1-u2-b-,ok,ok,0,32,256,1,1,2,-,9462692,9484313,107.968,32768000000,2089816231,4442231494,196514196,167821,56424248,2334337,2337680207,4458517015,201026823,8767679382,1773491387,2143772366,4447564611,1048175925,606465505,2318817739,4451989456,587975890,17139077,268316601,240413158,21765677,2274009177,4450480305,2332384075,298114127,581784514,597458755,325346249,4456376514,2331215558,4450543259,2331405095,2074529991,167821,196514196,2334337,56424248,2089816231,4442231494,2333599451,106867,1769624801,18338,4457494901,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
147-lib0-t32-k256-r1c1-u4-b-,ok,ok,0,32,256,1,1,4,-,9456421,9479824,108.019,32768000000,2083138647,4438516148,195432389,183229,57213573,2274211,2298485499,4457588346,189650559,8472365662,1733535050,2134387652,4443175830,1046828793,606361779,2285859180,4454845180,590206275,15037651,256910409,229358761,20718394,2276688534,4457242790,2261448195,273324091,575813721,601485225,327696314,4450342607,2274109048,4454689286,2274362665,2024990366,183229,195432389,2274211,57213573,2083138647,4438516148,2266905200,109294,1767751894,18484,4451456533,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
148-lib0-t32-k256-r2c2-u1-b-,ok,ok,0,32,256,2,2,1,-,7536913,7566067,135.341,32768000000,1683998252,4509451695,145616070,2285132,54765875,2264338,1844519435,4519715768,64038372,4729302392,1251606197,1686029847,4510387060,569288541,254099429,1688627575,4510916305,242247047,10252775,169127631,149182053,23688414,1778994027,4521766308,1831354832,124660911,570380235,226491376,435027738,4523714504,1844010507,4524957637,1844250101,1613992675,2285132,145616070,2264338,54765875,1683998252,4509451695,1836308308,109436,946082738,18195,4523067539,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
149-lib0-t32-k256-r2c2-u2-b-,ok,ok,0,32,256,2,2,2,-,7568670,7597853,134.775,32768000000,1680542502,4488127056,139923359,2571899,48590404,2155031,1905606705,4499877003,66855252,4973568227,1259805771,1676409296,4485708620,567914044,253174407,1702369461,4490382783,241064463,10605147,190000101,166772009,20667348,1807892379,4495077206,1863035032,144128327,588076765,237591359,391646207,4498136303,1878644726,4504698919,1878871480,1639869333,2571899,139923359,2155031,48590404,1680542502,4488127056,1874600741,110930,945404193,18299,4503638290,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
150-lib0-t32-k256-r2c2-u4-b-,ok,ok,0,32,256,2,2,4,-,7451468,7476028,136.971,32768000000,1663754861,4135758865,90688530,120940,56954485,2210312,1821438197,4152025166,70863209,4214713998,945164033,1667965193,4138530420,627411963,242245128,1692711557,4145597958,232025726,10714115,147974480,130258829,22067783,1717789209,4143972402,1820111595,131809285,719002258,143233495,378577882,4151559229,1826393790,4152491222,1826627656,1574294466,120940,90688530,2210312,56954485,1663754861,4135758865,1890997591,110486,926106573,18014,4149878753,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
151-lib0-t32-k256-r2c4-u1-b-,ok,ok,0,32,256,2,4,1,-,7436528,7463301,137.205,32768000000,1662922191,4412132580,129746125,3126902,54597082,2324269,1842138168,4424163576,35978567,4337077252,1327086071,1664357157,4414964439,325411065,184328359,1665828546,4413559685,178910473,5813107,127743010,100047234,20526774,1717051837,4417712882,1836879670,168326082,612550859,166079345,392668767,4432342351,1806063462,4422399907,1806220761,1563021233,3126902,129746125,2324269,54597082,1662922191,4412132580,1829207632,129065,719191504,18133,4426361948,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
152-lib0-t32-k256-r2c4-u2-b-,ok,ok,0,32,256,2,4,2,-,7294740,7336980,139.567,32768000000,1645077868,3981890085,82227631,132459,58230096,2332416,1803529476,3996775038,55590487,3359712936,855877650,1644085433,3981708643,473419541,169085522,1643033036,3983364962,160548948,6790535,137956494,110830871,20917671,1695487240,3984078333,1777167903,142442781,764553912,134604880,290669771,3989885740,1808087839,3994787712,1808270686,1559670883,132459,82227631,2332416,58230096,1645077868,3981890085,1801346484,113357,718946022,18022,3993457548,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
153-lib0-t32-k256-r2c4-u4-b-,ok,ok,0,32,256,2,4,4,-,7398704,7413918,138.119,32768000000,1651014002,3749673312,58030058,131077,56261182,2282151,1833063222,3762396778,96256350,4899135262,958130860,1654350210,3752489460,393131832,304603017,1649581609,3750873376,295785806,7205008,134067198,106073394,21635952,1691112375,3757292201,1813671403,164609090,828995182,101923145,282340525,3767060501,1767857413,3761482684,1768064786,1508295358,131077,58030058,2282151,56261182,1651014002,3749673312,1779595736,116844,712260369,17211,3761425492,ok,failed,ok,ok,failed,ok,ok,failed,ok,failed,failed,ok,ok,failed,failed
