tag,build_status,run_status,libpopcnt,cpu_tile,k_block,rows,cols,unroll,buffer_size,best_ns,avg_ns,gqps,checksum,perf_cycles,perf_instructions,perf_branches,perf_branch_misses,perf_cache_references,perf_cache_misses,perf_buffers_pending_cycles,perf_buffers_pending_instructions,perf_buffers_pending_l1d_pend_miss_fb_full,perf_buffers_pending_l1d_pend_miss_pending,perf_buffers_pending_l1d_pend_miss_pending_cycles,perf_buffers_store_cycles,perf_buffers_store_instructions,perf_buffers_store_offcore_requests_buffer_sq_full,perf_buffers_store_offcore_requests_outstanding_cycles_with_data_rd,perf_buffers_store_offcore_requests_outstanding_demand_data_rd_ge_6,perf_buffers_store_resource_stalls_sb,perf_execution_uops_cycles,perf_execution_uops_instructions,perf_execution_uops_resource_stalls_any,perf_execution_uops_uops_executed_thread,perf_execution_uops_uops_issued_any,perf_execution_uops_uops_retired_retire_slots,perf_frequency_cycles,perf_frequency_instructions,perf_frequency_msr_aperf_,perf_frequency_msr_mperf_,perf_frontend_cycles,perf_frontend_idq_uops_not_delivered_core,perf_frontend_idq_uops_not_delivered_cycles_0_uops_deliv_core,perf_frontend_idq_uops_not_delivered_cycles_le_1_uop_deliv_core,perf_frontend_instructions,perf_summary_branch_misses,perf_summary_branches,perf_summary_cache_misses,perf_summary_cache_references,perf_summary_cycles,perf_summary_instructions,profile_buffers_pending,profile_buffers_store,profile_cache_l1,profile_cache_l2,profile_cache_l3_dram,profile_cache_stalls,profile_execution_ports,profile_execution_uops,profile_frequency,profile_frontend,profile_summary
011-lib0-t4-k256-r4c2-u2-b-,ok,ok,0,4,256,4,2,2,-,13707050,14504464,70.599,32768000000,7559740304,17373922348,524529726,947419,199578397,477570,7680009636,17572408850,4180770,2632015852,1891615892,8563704874,18760009865,7022737,2889463018,441870,27476544,8833191949,19063063585,2485781129,20156284963,19915688898,19791832473,7213287710,16860357870,7215190933,7216145031,7746924487,560171943,78325626,125692571,17589993145,947419,524529726,477570,199578397,7559740304,17373922348,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
012-lib0-t4-k256-r4c2-u4-b-,ok,ok,0,4,256,4,2,4,-,13875472,14286721,71.675,32768000000,7218605758,17678477322,542507508,811510,200096444,332389,7297053220,17747973044,3274241,2916850158,1875780167,7384027198,17833000124,7837455,3307433456,570621,27049252,7249069817,17581959996,2379410752,17838698305,17756517736,17774463702,8040491624,18795391115,8045926406,8046417322,7613003554,504984340,71970005,112779625,18145948375,811510,542507508,332389,200096444,7218605758,17678477322,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
013-lib0-t4-k512-r1c1-u1-b-,ok,ok,0,4,512,1,1,1,-,15118736,15880784,64.480,32768000000,8594613360,19895167338,1070429574,11821504,202045321,402632,7940720549,19007757117,6221803,2624299475,1744892117,7874461093,18967574976,38326088,2523799068,665090,18278027,8630736793,19891698988,1950401218,21405593853,21918588710,21516946281,8025781207,19069794203,8028293815,8028205552,7899240660,706772762,111340260,142059328,18858830211,11821504,1070429574,402632,202045321,8594613360,19895167338,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
014-lib0-t4-k512-r1c1-u2-b-,ok,ok,0,4,512,1,1,2,-,14906754,15732278,65.089,32768000000,7916737642,18868747583,816895779,9919809,203381171,444344,8052786639,18689607596,4755721,3880614510,2240790709,8385737763,19539911932,58074107,2667261990,734921,19695299,8768076758,20315684977,1957351003,21779721198,22307894403,21895886013,9345461257,21005097994,9353715718,9353695627,8086294238,679823656,100862954,149722536,19210591700,9919809,816895779,444344,203381171,7916737642,18868747583,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
015-lib0-t4-k512-r1c1-u4-b-,ok,ok,0,4,512,1,1,4,-,14404041,16073728,63.706,32768000000,7833297784,18936289171,786104751,10325896,202203166,461194,7632767032,18740920296,4325026,2969025201,1960065170,8242889636,19383665666,37251828,2535565135,542922,19290174,7823175889,18753875247,2010997030,20057882645,20580590858,20234063546,8358567589,19582259976,8362344747,8362614587,7835803842,578289221,91135813,128365541,18827718171,10325896,786104751,461194,202203166,7833297784,18936289171,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
016-lib0-t4-k512-r2c2-u1-b-,ok,ok,0,4,512,2,2,1,-,14545468,22997613,44.526,32768000000,8863597085,19785296469,1257616933,4170143,200337285,374067,10488426807,21861031094,9205298,2924039662,2122427139,11451691383,23136780102,12034502,2661353383,276554,33032877,10192838643,21544775251,2435604197,22644758281,22467621512,22367608161,9611719314,20677824066,9619328944,9620423027,9086739489,1511528580,117294098,207727494,19956210921,4170143,1257616933,374067,200337285,8863597085,19785296469,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
017-lib0-t4-k512-r2c2-u2-b-,ok,ok,0,4,512,2,2,2,-,15546865,21694956,47.200,32768000000,9181229307,19950512716,1253371682,2334410,200136338,757069,7886950962,18312141074,4423019,2770620625,1822606345,7496102450,17555871812,10576772,2357765124,347255,33024579,10616849617,21926992302,2489589634,23415983533,23166051606,23053824080,9294648442,20074373958,9297430203,9297459825,9103893273,1008309949,135493308,230096304,19761804980,2334410,1253371682,757069,200136338,9181229307,19950512716,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
018-lib0-t4-k512-r2c2-u4-b-,ok,ok,0,4,512,2,2,4,-,13117209,16780969,61.022,32768000000,8602049859,19267807955,1026298479,1504657,200800582,554013,7382864628,17600473558,4738078,2639710552,1470778614,10415150615,21854116130,14759604,2838130777,495474,33546318,7238384112,17305868056,2167488527,17803608719,17661309627,17707636923,8830142735,19587927558,8835267554,8835310719,7726963391,673870995,93435619,149977045,17922048090,1504657,1026298479,554013,200800582,8602049859,19267807955,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
019-lib0-t4-k512-r2c4-u1-b-,ok,ok,0,4,512,2,4,1,-,14915595,16103644,63.588,32768000000,7578994607,17601582179,559942988,3205395,204480549,417836,7707379855,17981400031,4033509,3302578028,2192682266,8606417873,19068762502,47661412,2693719972,832209,32625069,9663257533,20496448650,2410180466,24253518568,21821642832,21610373271,7731977692,17902928255,7735243588,7735179518,9389979034,1058155731,137387546,242624033,20219864081,3205395,559942988,417836,204480549,7578994607,17601582179,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
020-lib0-t4-k512-r2c4-u2-b-,ok,ok,0,4,512,2,4,2,-,14667125,18100273,56.574,32768000000,7647128153,17505861188,567380805,956894,203637151,593171,9804270132,20748873707,8839806,3084627235,2032929755,11527305233,22974339885,37464073,2098494574,700671,30012398,9358077935,19787181861,2416541951,23396536801,20887887496,20812878478,9085653729,19449089611,9092285779,9092298455,9585248140,1289027903,171771904,294423447,20139618521,956894,567380805,593171,203637151,7647128153,17505861188,ok,ok,failed,failed,failed,failed,failed,ok,ok,ok,ok
